state,Technology,Ready
ACT,Fixed line,238680
NSW,Fixed line,3553870
NT,Fixed line,79890
QLD,Fixed line,2250559
SA,Fixed line,817710
TAS,Fixed line,237933
VIC,Fixed line,3034457
WA,Fixed line,1213317
ACT,Fixed wireless,487
NSW,Fixed wireless,102487
NT,Fixed wireless,13808
QLD,Fixed wireless,66293
SA,Fixed wireless,19774
TAS,Fixed wireless,13378
VIC,Fixed wireless,47178
WA,Fixed wireless,47995
ACT,Satellite,3
NSW,Satellite,211813
NT,Satellite,6181
QLD,Satellite,182606
SA,Satellite,81982
TAS,Satellite,47998
VIC,Satellite,210998
WA,Satellite,55600
